,Time,ch0z,ch1z,complete_dose,smoothdose,Z
1,9.959507,0.005316944231375384,0.0020433746268154755,0.0028397546302531603,0.0028397546302531603,299.97386265242505
2,10.08171,0.005072131938937672,0.0020667295674996265,0.003812951171623369,0.003812951171623369,299.93199033447297
3,10.203913,0.005124438714375253,0.001905663393728171,0.003756454129788303,0.003756454129788303,299.65812431749765
4,10.326121,0.00511559423979664,0.0020173939827408016,0.0037977249153633343,0.0037977249153633343,298.69196478210483
5,10.448324,0.005218618549145957,0.0021148904954784854,0.003825102377713855,0.003825102377713855,297.4074922835398
6,10.570538,0.005319915422054135,0.0020292787454558115,0.00387907553100549,0.00387907553100549,296.0425241821152
7,10.692759,0.005210395951686152,0.002083727542080395,0.003929488166465406,0.003929488166465406,294.83547623003324
8,10.814979,0.005375815265289279,0.0020808254488592958,0.0039457853357859765,0.0039457853357859765,293.56176140631544
9,10.937198,0.0053300036508703635,0.0019278436776323426,0.003972530930594035,0.003972530930594035,292.2651464707819
10,11.059412,0.005357780828843828,0.0019664691564561317,0.003998295613705635,0.003998295613705635,290.9671316989455
11,11.181624,0.0054469165492064065,0.0020068220717210563,0.004023034346141565,0.004023034346141565,289.70886300826874
12,11.303834,0.005410156701739053,0.0021507520759964562,0.004048840487727752,0.004048840487727752,288.3825951515343
13,11.426054,0.005477595820400977,0.002167197270916063,0.004065690007467705,0.004065690007467705,287.071187886476
14,11.548268,0.00552119631617523,0.0022356037539850247,0.004084567527120238,0.004084567527120238,285.9266026428823
15,11.670485,0.005618623731455273,0.0022225443344900506,0.004093970288218004,0.004093970288218004,284.4975707966355
16,11.7927,0.0055511846127933515,0.0021544142412516544,0.004108609537327556,0.004108609537327556,283.2077213371581
17,11.914912,0.005655798163668508,0.002318589800617177,0.0041291504840490975,0.0041291504840490975,282.10018882709454
18,12.037121,0.005659874913669591,0.0021553816056587,0.0041516485220346394,0.0041516485220346394,280.9111414300718
19,12.159333,0.005599552833145141,0.0024011612625034436,0.0041782466042399385,0.0041782466042399385,279.4573594941784
20,12.281544,0.005747835977252212,0.0022397496014437547,0.004204329711468855,0.004204329711468855,278.24458179805345
21,12.403767,0.005696358371306369,0.002341530156555459,0.0042329184181437345,0.0042329184181437345,276.9310945396876
22,12.52599,0.0058400119857511855,0.0023219755760418006,0.004263644917512635,0.004263644917512635,275.6047313106156
23,12.648204,0.0058822305323725475,0.0022513579743281865,0.004298024599467248,0.004298024599467248,274.3335482775161
24,12.770411,0.005917884820517577,0.00259808901679288,0.004338723181107663,0.004338723181107663,273.1219047252005
25,12.892626,0.005942759905269933,0.0023901056692801808,0.004381192739947877,0.004381192739947877,271.84674303787455
26,13.014836,0.005937370303573593,0.002118138075987823,0.004418034363209432,0.004418034363209432,270.5740847932632
27,13.137057,0.005880433998473763,0.002293991105695411,0.00445517760734292,0.00445517760734292,269.36662984395963
28,13.259264,0.00615074325278264,0.002498450482868196,0.004487352922260973,0.004487352922260973,267.99284894938614
29,13.381485,0.006265790519762256,0.002301522728578763,0.004530281717472706,0.004530281717472706,266.6343484225894
30,13.503704,0.005966944015445827,0.0022845247539979917,0.0045733259895972276,0.0045733259895972276,265.5481121220738
31,13.625911,0.00631975563418333,0.002426381834544025,0.004618112627107587,0.004618112627107587,264.3049305806348
32,13.748124,0.006139756757017018,0.0025225654955864413,0.0046578628032767294,0.0046578628032767294,262.8655662483412
33,13.870339,0.006338204655374661,0.0023870653811437913,0.004687052960051295,0.004687052960051295,261.6156548404014
34,13.992555,0.006268001638406921,0.0024123550506420103,0.004711221982839975,0.004711221982839975,260.46507960423384
35,14.11478,0.0064234018206514665,0.002338904453164929,0.004735417409232924,0.004735417409232924,259.0119248480664
36,14.236995,0.006327909134185491,0.0022869431650155794,0.00475720903040716,0.00475720903040716,257.67718182226935
37,14.359217,0.006461405422356445,0.0023991574362317337,0.004791153470554826,0.004791153470554826,256.5316389658656
38,14.48143,0.006541074791021609,0.0025180050633818478,0.004818543598072353,0.004818543598072353,255.1586574544474
39,14.603647,0.006305383362993092,0.002544123902371817,0.004856414984330477,0.004856414984330477,253.884733192268
40,14.725857,0.006634218163927634,0.0025913865634012876,0.004888223581676493,0.004888223581676493,252.69483276376528
41,14.848071,0.006562564100349336,0.0024094529574209037,0.004916143007276286,0.004916143007276286,251.40420154410555
42,14.970273,0.006526426130000779,0.0026906796100377404,0.004948682036422256,0.004948682036422256,250.04074766012357
43,15.092497,0.006624890007145503,0.002384854262499133,0.00498173200985958,0.00498173200985958,248.9251878613141
44,15.214702,0.0066922600283497845,0.002473989982861722,0.005030394742703525,0.005030394742703525,247.5703664753523
45,15.336903,0.006747330702093187,0.0025652677244113165,0.0050707483594123375,0.0050707483594123375,246.2549959825484
46,15.459124999999998,0.006832389672454702,0.0023875490633473062,0.00510596923898895,0.00510596923898895,245.04385869840124
47,15.581346,0.006663169998681076,0.002531133580334474,0.005136686901149757,0.005136686901149757,243.7985847200993
48,15.703546,0.006955659536894119,0.0023402173048601947,0.005169982631332562,0.005169982631332562,242.42506982840868
49,15.825771,0.006985855125885172,0.002595117826114137,0.005208985905740683,0.005208985905740683,241.06164936869715
50,15.947981,0.007028626452167684,0.002604445982896272,0.005252280192648846,0.005252280192648846,240.01793793666764
51,16.070190999999998,0.006935759469092247,0.0026613131905384464,0.00528822419201752,0.00528822419201752,238.65637209979656
52,16.192404,0.006856573782630599,0.0025145501904995757,0.005329057255287078,0.005329057255287078,237.29908283030383
53,16.314636999999998,0.007036503562339269,0.0026539197625703886,0.00535592868742259,0.00535592868742259,236.07326058528903
54,16.436854,0.007128679570838262,0.0026309794066321063,0.005386166687400852,0.005386166687400852,234.82260232109653
55,16.559064,0.007142775452197913,0.0025312026777921273,0.005413249938257196,0.005413249938257196,233.5164994715469
56,16.681276999999998,0.007370658867512501,0.002500523406597563,0.005446857748154388,0.005446857748154388,232.3269218175002
57,16.803496,0.007170483532713735,0.0027637156227689557,0.005495710226521846,0.005495710226521846,230.9646033010397
58,16.925713,0.0073931155412472645,0.0027659267414136125,0.005551393250310347,0.005551393250310347,229.69412308315333
